NumGRASP , NumLS , strikes, FuncionObjetivo Sin Pesos , FuncionObjetivo Con pesos , Fosforo ,  Peso Fosforo, CantIncUsos, Peso CantIncUsos, CantIncProd, Peso CantIncProd
15 , 7 , 4 , 0.947924 , 0.890158 , 0.635424 , 0.9090909 , 0.000000 , 1.0 , 0.312500 , 1.0
15 , 8 , 5 , 0.947924 , 0.890158 , 0.635424 , 0.9090909 , 0.000000 , 1.0 , 0.312500 , 1.0
15 , 10 , 6 , 0.921098 , 0.898370 , 0.671098 , 1.0 , 0.000000 , 1.0 , 0.250000 , 0.9090909
15 , 11 , 7 , 0.921098 , 0.898370 , 0.671098 , 1.0 , 0.000000 , 1.0 , 0.250000 , 0.9090909
16 , 1 , 0 , 1.023526 , 1.023526 , 0.773526 , 1.0 , 0.000000 , 1.0 , 0.250000 , 1.0
16 , 2 , 0 , 1.023526 , 1.023526 , 0.773526 , 1.0 , 0.000000 , 1.0 , 0.250000 , 1.0
16 , 7 , 1 , 0.986006 , 0.752702 , 0.736006 , 0.6830134 , 0.000000 , 1.0 , 0.250000 , 1.0
16 , 8 , 2 , 0.986006 , 0.752702 , 0.736006 , 0.6830134 , 0.000000 , 1.0 , 0.250000 , 1.0
16 , 10 , 3 , 0.966398 , 0.694827 , 0.716398 , 0.62092125 , 0.000000 , 1.0 , 0.250000 , 1.0
16 , 11 , 4 , 0.966398 , 0.694827 , 0.716398 , 0.62092125 , 0.000000 , 1.0 , 0.250000 , 1.0
17 , 1 , 0 , 0.967819 , 0.967819 , 0.655319 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
17 , 2 , 0 , 0.967819 , 0.967819 , 0.655319 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
17 , 3 , 1 , 0.967819 , 0.967819 , 0.655319 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
17 , 4 , 2 , 0.967819 , 0.967819 , 0.655319 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
17 , 5 , 3 , 0.967819 , 0.967819 , 0.655319 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
17 , 10 , 4 , 0.915992 , 0.777680 , 0.665992 , 0.82644624 , 0.000000 , 1.0 , 0.250000 , 0.9090909
17 , 11 , 5 , 0.915992 , 0.777680 , 0.665992 , 0.82644624 , 0.000000 , 1.0 , 0.250000 , 0.9090909
18 , 1 , 0 , 1.121041 , 1.121041 , 0.746041 , 1.0 , 0.000000 , 1.0 , 0.375000 , 1.0
18 , 5 , 0 , 0.873239 , 0.778357 , 0.685739 , 0.9090909 , 0.000000 , 1.0 , 0.187500 , 0.82644624
18 , 6 , 1 , 0.873239 , 0.778357 , 0.685739 , 0.9090909 , 0.000000 , 1.0 , 0.187500 , 0.82644624
18 , 7 , 2 , 0.873239 , 0.778357 , 0.685739 , 0.9090909 , 0.000000 , 1.0 , 0.187500 , 0.82644624
18 , 8 , 3 , 0.873239 , 0.778357 , 0.685739 , 0.9090909 , 0.000000 , 1.0 , 0.187500 , 0.82644624
18 , 9 , 4 , 0.873239 , 0.778357 , 0.685739 , 0.9090909 , 0.000000 , 1.0 , 0.187500 , 0.82644624
18 , 10 , 5 , 0.873239 , 0.778357 , 0.685739 , 0.9090909 , 0.000000 , 1.0 , 0.187500 , 0.82644624
18 , 11 , 6 , 0.873239 , 0.778357 , 0.685739 , 0.9090909 , 0.000000 , 1.0 , 0.187500 , 0.82644624
19 , 1 , 0 , 1.029749 , 1.029749 , 0.717249 , 1.0 , 0.000000 , 1.0 , 0.312500 , 1.0
19 , 4 , 0 , 0.935194 , 0.912466 , 0.685194 , 1.0 , 0.000000 , 1.0 , 0.250000 , 0.9090909
19 , 8 , 1 , 0.802090 , 0.709451 , 0.677090 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 0.75131476
19 , 9 , 2 , 0.802090 , 0.709451 , 0.677090 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 0.75131476
19 , 10 , 3 , 0.802090 , 0.709451 , 0.677090 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 0.75131476
19 , 11 , 4 , 0.802090 , 0.709451 , 0.677090 , 0.9090909 , 0.000000 , 1.0 , 0.125000 , 0.75131476
20 , 1 , 0 , 1.017198 , 1.017198 , 0.642198 , 1.0 , 0.000000 , 1.0 , 0.375000 , 1.0
20 , 2 , 0 , 1.017198 , 1.017198 , 0.642198 , 1.0 , 0.000000 , 1.0 , 0.375000 , 1.0
20 , 3 , 1 , 1.017198 , 1.017198 , 0.642198 , 1.0 , 0.000000 , 1.0 , 0.375000 , 1.0
20 , 8 , 2 , 0.896456 , 0.863914 , 0.708956 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
20 , 11 , 3 , 0.776234 , 0.745149 , 0.651234 , 1.0 , 0.000000 , 1.0 , 0.125000 , 0.75131476
21 , 1 , 0 , 1.188344 , 1.188344 , 0.750844 , 1.0 , 0.000000 , 1.0 , 0.437500 , 1.0
21 , 3 , 0 , 0.998160 , 0.907418 , 0.685660 , 0.9090909 , 0.000000 , 1.0 , 0.312500 , 0.9090909
21 , 5 , 1 , 0.950646 , 0.907258 , 0.700646 , 1.0 , 0.000000 , 1.0 , 0.250000 , 0.82644624
21 , 8 , 2 , 1.029217 , 0.893981 , 0.654216 , 0.82644624 , 0.250000 , 1.0 , 0.125000 , 0.82644624
21 , 9 , 3 , 1.026325 , 0.891591 , 0.651325 , 0.82644624 , 0.250000 , 1.0 , 0.125000 , 0.82644624
22 , 1 , 0 , 1.134716 , 1.134716 , 0.759716 , 1.0 , 0.000000 , 1.0 , 0.375000 , 1.0
22 , 3 , 0 , 1.255816 , 1.296739 , 0.693316 , 1.1 , 0.250000 , 1.0 , 0.312500 , 0.9090909
22 , 4 , 1 , 1.248689 , 1.288899 , 0.686189 , 1.1 , 0.250000 , 1.0 , 0.312500 , 0.9090909
22 , 7 , 2 , 1.022846 , 0.929860 , 0.710346 , 0.9090909 , 0.000000 , 1.0 , 0.312500 , 0.9090909
22 , 9 , 3 , 0.993223 , 0.846672 , 0.680723 , 0.82644624 , 0.000000 , 1.0 , 0.312500 , 0.9090909
22 , 10 , 4 , 0.993223 , 0.846672 , 0.680723 , 0.82644624 , 0.000000 , 1.0 , 0.312500 , 0.9090909
22 , 11 , 5 , 0.993223 , 0.846672 , 0.680723 , 0.82644624 , 0.000000 , 1.0 , 0.312500 , 0.9090909
23 , 1 , 0 , 1.088191 , 1.088191 , 0.713191 , 1.0 , 0.000000 , 1.0 , 0.375000 , 1.0
23 , 4 , 0 , 0.978020 , 0.955292 , 0.728020 , 1.0 , 0.000000 , 1.0 , 0.250000 , 0.9090909
23 , 7 , 1 , 0.886284 , 0.853742 , 0.698784 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
23 , 8 , 2 , 0.886284 , 0.853742 , 0.698784 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
23 , 9 , 3 , 0.886284 , 0.853742 , 0.698784 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
23 , 10 , 4 , 0.886284 , 0.853742 , 0.698784 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
23 , 11 , 5 , 0.886284 , 0.853742 , 0.698784 , 1.0 , 0.000000 , 1.0 , 0.187500 , 0.82644624
24 , 1 , 0 , 0.909436 , 0.909436 , 0.659436 , 1.0 , 0.000000 , 1.0 , 0.250000 , 1.0
24 , 4 , 0 , 0.832537 , 0.703543 , 0.645037 , 0.82644624 , 0.000000 , 1.0 , 0.187500 , 0.9090909
24 , 5 , 1 , 0.832537 , 0.703543 , 0.645037 , 0.82644624 , 0.000000 , 1.0 , 0.187500 , 0.9090909
24 , 6 , 2 , 0.832537 , 0.703543 , 0.645037 , 0.82644624 , 0.000000 , 1.0 , 0.187500 , 0.9090909
24 , 7 , 3 , 0.832537 , 0.703543 , 0.645037 , 0.82644624 , 0.000000 , 1.0 , 0.187500 , 0.9090909
24 , 10 , 4 , 0.800097 , 0.661237 , 0.675097 , 0.82644624 , 0.000000 , 1.0 , 0.125000 , 0.82644624
24 , 11 , 5 , 0.800097 , 0.661237 , 0.675097 , 0.82644624 , 0.000000 , 1.0 , 0.125000 , 0.82644624
25 , 1 , 0 , 0.905811 , 0.905811 , 0.718311 , 1.0 , 0.000000 , 1.0 , 0.187500 , 1.0
25 , 2 , 0 , 0.905811 , 0.905811 , 0.718311 , 1.0 , 0.000000 , 1.0 , 0.187500 , 1.0
25 , 3 , 1 , 1.059706 , 1.059706 , 0.684706 , 1.0 , 0.187500 , 1.0 , 0.187500 , 1.0
25 , 4 , 2 , 1.107652 , 1.107652 , 0.670152 , 1.0 , 0.250000 , 1.0 , 0.187500 , 1.0
25 , 5 , 3 , 1.094001 , 1.094001 , 0.656501 , 1.0 , 0.250000 , 1.0 , 0.187500 , 1.0
25 , 8 , 4 , 0.803885 , 0.674698 , 0.678885 , 0.82644624 , 0.000000 , 1.0 , 0.125000 , 0.9090909
